SNo,Date,Province/State,Country,Recovered
13,01/22/2020,Hong Kong,Hong Kong,0.0
21,01/22/2020,Macau,Macau,0.0
1,01/22/2020,Anhui,Mainland China,0.0
2,01/22/2020,Beijing,Mainland China,0.0
3,01/22/2020,Chongqing,Mainland China,0.0
4,01/22/2020,Fujian,Mainland China,0.0
5,01/22/2020,Gansu,Mainland China,0.0
6,01/22/2020,Guangdong,Mainland China,0.0
7,01/22/2020,Guangxi,Mainland China,0.0
8,01/22/2020,Guizhou,Mainland China,0.0
9,01/22/2020,Hainan,Mainland China,0.0
10,01/22/2020,Hebei,Mainland China,0.0
11,01/22/2020,Heilongjiang,Mainland China,0.0
12,01/22/2020,Henan,Mainland China,0.0
14,01/22/2020,Hubei,Mainland China,28.0
15,01/22/2020,Hunan,Mainland China,0.0
16,01/22/2020,Inner Mongolia,Mainland China,0.0
17,01/22/2020,Jiangsu,Mainland China,0.0
18,01/22/2020,Jiangxi,Mainland China,0.0
19,01/22/2020,Jilin,Mainland China,0.0
20,01/22/2020,Liaoning,Mainland China,0.0
22,01/22/2020,Ningxia,Mainland China,0.0
23,01/22/2020,Qinghai,Mainland China,0.0
24,01/22/2020,Shaanxi,Mainland China,0.0
25,01/22/2020,Shandong,Mainland China,0.0
26,01/22/2020,Shanghai,Mainland China,0.0
27,01/22/2020,Shanxi,Mainland China,0.0
28,01/22/2020,Sichuan,Mainland China,0.0
30,01/22/2020,Tianjin,Mainland China,0.0
31,01/22/2020,Tibet,Mainland China,0.0
33,01/22/2020,Xinjiang,Mainland China,0.0
34,01/22/2020,Yunnan,Mainland China,0.0
35,01/22/2020,Zhejiang,Mainland China,0.0
29,01/22/2020,Taiwan,Taiwan,0.0
32,01/22/2020,Washington,US,0.0
51,01/23/2020,Hong Kong,Hong Kong,0.0
59,01/23/2020,Macau,Macau,0.0
39,01/23/2020,Anhui,Mainland China,0.0
40,01/23/2020,Beijing,Mainland China,0.0
41,01/23/2020,Chongqing,Mainland China,0.0
42,01/23/2020,Fujian,Mainland China,0.0
43,01/23/2020,Gansu,Mainland China,0.0
44,01/23/2020,Guangdong,Mainland China,2.0
45,01/23/2020,Guangxi,Mainland China,0.0
46,01/23/2020,Guizhou,Mainland China,0.0
47,01/23/2020,Hainan,Mainland China,0.0
48,01/23/2020,Hebei,Mainland China,0.0
49,01/23/2020,Heilongjiang,Mainland China,0.0
50,01/23/2020,Henan,Mainland China,0.0
52,01/23/2020,Hubei,Mainland China,28.0
53,01/23/2020,Hunan,Mainland China,0.0
54,01/23/2020,Inner Mongolia,Mainland China,0.0
55,01/23/2020,Jiangsu,Mainland China,0.0
56,01/23/2020,Jiangxi,Mainland China,0.0
57,01/23/2020,Jilin,Mainland China,0.0
58,01/23/2020,Liaoning,Mainland China,0.0
60,01/23/2020,Ningxia,Mainland China,0.0
61,01/23/2020,Qinghai,Mainland China,0.0
62,01/23/2020,Shaanxi,Mainland China,0.0
63,01/23/2020,Shandong,Mainland China,0.0
64,01/23/2020,Shanghai,Mainland China,0.0
65,01/23/2020,Shanxi,Mainland China,0.0
66,01/23/2020,Sichuan,Mainland China,0.0
68,01/23/2020,Tianjin,Mainland China,0.0
69,01/23/2020,Tibet,Mainland China,0.0
71,01/23/2020,Xinjiang,Mainland China,0.0
72,01/23/2020,Yunnan,Mainland China,0.0
73,01/23/2020,Zhejiang,Mainland China,0.0
67,01/23/2020,Taiwan,Taiwan,0.0
70,01/23/2020,Washington,US,0.0
110,01/24/2020,Hong Kong,Hong Kong,0.0
111,01/24/2020,Macau,Macau,0.0
96,01/24/2020,Anhui,Mainland China,0.0
88,01/24/2020,Beijing,Mainland China,1.0
89,01/24/2020,Chongqing,Mainland China,0.0
97,01/24/2020,Fujian,Mainland China,0.0
113,01/24/2020,Gansu,Mainland China,0.0
86,01/24/2020,Guangdong,Mainland China,2.0
91,01/24/2020,Guangxi,Mainland China,0.0
106,01/24/2020,Guizhou,Mainland China,0.0
100,01/24/2020,Hainan,Mainland China,0.0
112,01/24/2020,Hebei,Mainland China,0.0
104,01/24/2020,Heilongjiang,Mainland China,0.0
98,01/24/2020,Henan,Mainland China,0.0
85,01/24/2020,Hubei,Mainland China,31.0
90,01/24/2020,Hunan,Mainland China,0.0
116,01/24/2020,Inner Mongolia,Mainland China,0.0
99,01/24/2020,Jiangsu,Mainland China,0.0
93,01/24/2020,Jiangxi,Mainland China,0.0
107,01/24/2020,Jilin,Mainland China,0.0
105,01/24/2020,Liaoning,Mainland China,0.0
109,01/24/2020,Ningxia,Mainland China,0.0
117,01/24/2020,Qinghai,Mainland China,0.0
103,01/24/2020,Shaanxi,Mainland China,0.0
95,01/24/2020,Shandong,Mainland China,0.0
92,01/24/2020,Shanghai,Mainland China,1.0
115,01/24/2020,Shanxi,Mainland China,0.0
94,01/24/2020,Sichuan,Mainland China,0.0
101,01/24/2020,Tianjin,Mainland China,0.0
114,01/24/2020,Xinjiang,Mainland China,0.0
102,01/24/2020,Yunnan,Mainland China,0.0
87,01/24/2020,Zhejiang,Mainland China,1.0
108,01/24/2020,Taiwan,Taiwan,0.0
119,01/24/2020,Chicago,US,0.0
118,01/24/2020,Washington,US,0.0
150,01/25/2020,Hong Kong,Hong Kong,0.0
157,01/25/2020,Macau,Macau,0.0
132,01/25/2020,Anhui,Mainland China,0.0
131,01/25/2020,Beijing,Mainland China,2.0
129,01/25/2020,Chongqing,Mainland China,0.0
140,01/25/2020,Fujian,Mainland China,0.0
153,01/25/2020,Gansu,Mainland China,0.0
127,01/25/2020,Guangdong,Mainland China,2.0
137,01/25/2020,Guangxi,Mainland China,0.0
151,01/25/2020,Guizhou,Mainland China,0.0
138,01/25/2020,Hainan,Mainland China,0.0
147,01/25/2020,Hebei,Mainland China,0.0
146,01/25/2020,Heilongjiang,Mainland China,0.0
134,01/25/2020,Henan,Mainland China,0.0
126,01/25/2020,Hubei,Mainland China,32.0
130,01/25/2020,Hunan,Mainland China,0.0
148,01/25/2020,Inner Mongolia,Mainland China,0.0
141,01/25/2020,Jiangsu,Mainland China,1.0
139,01/25/2020,Jiangxi,Mainland China,0.0
152,01/25/2020,Jilin,Mainland China,0.0
142,01/25/2020,Liaoning,Mainland China,0.0
154,01/25/2020,Ningxia,Mainland China,0.0
158,01/25/2020,Qinghai,Mainland China,0.0
143,01/25/2020,Shaanxi,Mainland China,0.0
136,01/25/2020,Shandong,Mainland China,0.0
133,01/25/2020,Shanghai,Mainland China,1.0
149,01/25/2020,Shanxi,Mainland China,0.0
135,01/25/2020,Sichuan,Mainland China,0.0
145,01/25/2020,Tianjin,Mainland China,0.0
156,01/25/2020,Xinjiang,Mainland China,0.0
144,01/25/2020,Yunnan,Mainland China,0.0
128,01/25/2020,Zhejiang,Mainland China,1.0
155,01/25/2020,Taiwan,Taiwan,0.0
160,01/25/2020,Illinois,US,0.0
159,01/25/2020,Washington,US,0.0
216,01/26/2020,Ontario,Canada,0.0
193,01/26/2020,Hong Kong,Hong Kong,0.0
197,01/26/2020,Macau,Macau,0.0
177,01/26/2020,Anhui,Mainland China,0.0
176,01/26/2020,Beijing,Mainland China,2.0
174,01/26/2020,Chongqing,Mainland China,0.0
183,01/26/2020,Fujian,Mainland China,0.0
195,01/26/2020,Gansu,Mainland China,0.0
171,01/26/2020,Guangdong,Mainland China,2.0
181,01/26/2020,Guangxi,Mainland China,0.0
196,01/26/2020,Guizhou,Mainland China,0.0
185,01/26/2020,Hainan,Mainland China,0.0
191,01/26/2020,Hebei,Mainland China,0.0
189,01/26/2020,Heilongjiang,Mainland China,0.0
173,01/26/2020,Henan,Mainland China,0.0
170,01/26/2020,Hubei,Mainland China,42.0
175,01/26/2020,Hunan,Mainland China,0.0
194,01/26/2020,Inner Mongolia,Mainland China,0.0
184,01/26/2020,Jiangsu,Mainland China,1.0
182,01/26/2020,Jiangxi,Mainland China,0.0
199,01/26/2020,Jilin,Mainland China,0.0
187,01/26/2020,Liaoning,Mainland China,0.0
198,01/26/2020,Ningxia,Mainland China,0.0
202,01/26/2020,Qinghai,Mainland China,0.0
186,01/26/2020,Shaanxi,Mainland China,0.0
178,01/26/2020,Shandong,Mainland China,0.0
180,01/26/2020,Shanghai,Mainland China,1.0
192,01/26/2020,Shanxi,Mainland China,0.0
179,01/26/2020,Sichuan,Mainland China,0.0
190,01/26/2020,Tianjin,Mainland China,0.0
201,01/26/2020,Xinjiang,Mainland China,0.0
188,01/26/2020,Yunnan,Mainland China,0.0
172,01/26/2020,Zhejiang,Mainland China,1.0
200,01/26/2020,Taiwan,Taiwan,0.0
206,01/26/2020,Arizona,US,0.0
205,01/26/2020,California,US,0.0
204,01/26/2020,Illinois,US,0.0
203,01/26/2020,Washington,US,0.0
266,01/27/2020,New South Wales,Australia,0.0
267,01/27/2020,Victoria,Australia,0.0
262,01/27/2020,Ontario,Canada,0.0
242,01/27/2020,Hong Kong,Hong Kong,0.0
246,01/27/2020,Macau,Macau,0.0
226,01/27/2020,Anhui,Mainland China,0.0
223,01/27/2020,Beijing,Mainland China,2.0
221,01/27/2020,Chongqing,Mainland China,0.0
228,01/27/2020,Fujian,Mainland China,0.0
239,01/27/2020,Gansu,Mainland China,0.0
218,01/27/2020,Guangdong,Mainland China,4.0
231,01/27/2020,Guangxi,Mainland China,0.0
243,01/27/2020,Guizhou,Mainland China,0.0
233,01/27/2020,Hainan,Mainland China,0.0
238,01/27/2020,Hebei,Mainland China,0.0
237,01/27/2020,Heilongjiang,Mainland China,0.0
220,01/27/2020,Henan,Mainland China,0.0
217,01/27/2020,Hubei,Mainland China,45.0
222,01/27/2020,Hunan,Mainland China,0.0
241,01/27/2020,Inner Mongolia,Mainland China,0.0
230,01/27/2020,Jiangsu,Mainland China,1.0
225,01/27/2020,Jiangxi,Mainland China,2.0
245,01/27/2020,Jilin,Mainland China,0.0
234,01/27/2020,Liaoning,Mainland China,0.0
244,01/27/2020,Ningxia,Mainland China,0.0
247,01/27/2020,Qinghai,Mainland China,0.0
232,01/27/2020,Shaanxi,Mainland China,0.0
224,01/27/2020,Shandong,Mainland China,0.0
229,01/27/2020,Shanghai,Mainland China,3.0
240,01/27/2020,Shanxi,Mainland China,0.0
227,01/27/2020,Sichuan,Mainland China,0.0
236,01/27/2020,Tianjin,Mainland China,0.0
249,01/27/2020,Xinjiang,Mainland China,0.0
235,01/27/2020,Yunnan,Mainland China,0.0
219,01/27/2020,Zhejiang,Mainland China,1.0
248,01/27/2020,Taiwan,Taiwan,0.0
253,01/27/2020,Arizona,US,0.0
252,01/27/2020,California,US,0.0
251,01/27/2020,Illinois,US,0.0
250,01/27/2020,Washington,US,0.0
317,01/28/2020,New South Wales,Australia,0.0
318,01/28/2020,Victoria,Australia,0.0
314,01/28/2020,British Columbia,Canada,0.0
313,01/28/2020,Ontario,Canada,0.0
319,01/28/2020,Bavaria,Germany,0.0
298,01/28/2020,Hong Kong,Hong Kong,0.0
299,01/28/2020,Macau,Macau,0.0
275,01/28/2020,Anhui,Mainland China,0.0
277,01/28/2020,Beijing,Mainland China,4.0
273,01/28/2020,Chongqing,Mainland China,0.0
279,01/28/2020,Fujian,Mainland China,0.0
291,01/28/2020,Gansu,Mainland China,0.0
269,01/28/2020,Guangdong,Mainland China,4.0
282,01/28/2020,Guangxi,Mainland China,2.0
295,01/28/2020,Guizhou,Mainland China,0.0
285,01/28/2020,Hainan,Mainland China,0.0
287,01/28/2020,Hebei,Mainland China,0.0
288,01/28/2020,Heilongjiang,Mainland China,0.0
271,01/28/2020,Henan,Mainland China,0.0
268,01/28/2020,Hubei,Mainland China,80.0
272,01/28/2020,Hunan,Mainland China,0.0
292,01/28/2020,Inner Mongolia,Mainland China,0.0
280,01/28/2020,Jiangsu,Mainland China,1.0
274,01/28/2020,Jiangxi,Mainland China,3.0
296,01/28/2020,Jilin,Mainland China,0.0
286,01/28/2020,Liaoning,Mainland China,0.0
293,01/28/2020,Ningxia,Mainland China,0.0
300,01/28/2020,Qinghai,Mainland China,0.0
283,01/28/2020,Shaanxi,Mainland China,0.0
276,01/28/2020,Shandong,Mainland China,0.0
281,01/28/2020,Shanghai,Mainland China,4.0
289,01/28/2020,Shanxi,Mainland China,0.0
278,01/28/2020,Sichuan,Mainland China,0.0
290,01/28/2020,Tianjin,Mainland China,0.0
294,01/28/2020,Xinjiang,Mainland China,0.0
284,01/28/2020,Yunnan,Mainland China,0.0
270,01/28/2020,Zhejiang,Mainland China,3.0
297,01/28/2020,Taiwan,Taiwan,0.0
304,01/28/2020,Arizona,US,0.0
303,01/28/2020,California,US,0.0
302,01/28/2020,Illinois,US,0.0
301,01/28/2020,Washington,US,0.0
369,01/29/2020,New South Wales,Australia,0.0
370,01/29/2020,Victoria,Australia,0.0
366,01/29/2020,British Columbia,Canada,0.0
365,01/29/2020,Ontario,Canada,0.0
371,01/29/2020,Bavaria,Germany,0.0
347,01/29/2020,Hong Kong,Hong Kong,0.0
351,01/29/2020,Macau,Macau,0.0
325,01/29/2020,Anhui,Mainland China,2.0
328,01/29/2020,Beijing,Mainland China,4.0
326,01/29/2020,Chongqing,Mainland China,1.0
333,01/29/2020,Fujian,Mainland China,0.0
343,01/29/2020,Gansu,Mainland China,0.0
322,01/29/2020,Guangdong,Mainland China,5.0
334,01/29/2020,Guangxi,Mainland China,2.0
348,01/29/2020,Guizhou,Mainland China,1.0
338,01/29/2020,Hainan,Mainland China,0.0
337,01/29/2020,Hebei,Mainland China,0.0
340,01/29/2020,Heilongjiang,Mainland China,0.0
324,01/29/2020,Henan,Mainland China,1.0
320,01/29/2020,Hubei,Mainland China,88.0
323,01/29/2020,Hunan,Mainland China,0.0
344,01/29/2020,Inner Mongolia,Mainland China,0.0
331,01/29/2020,Jiangsu,Mainland China,1.0
329,01/29/2020,Jiangxi,Mainland China,3.0
349,01/29/2020,Jilin,Mainland China,0.0
339,01/29/2020,Liaoning,Mainland China,1.0
346,01/29/2020,Ningxia,Mainland China,0.0
352,01/29/2020,Qinghai,Mainland China,0.0
335,01/29/2020,Shaanxi,Mainland China,0.0
327,01/29/2020,Shandong,Mainland China,1.0
332,01/29/2020,Shanghai,Mainland China,5.0
342,01/29/2020,Shanxi,Mainland China,1.0
330,01/29/2020,Sichuan,Mainland China,1.0
341,01/29/2020,Tianjin,Mainland China,0.0
345,01/29/2020,Xinjiang,Mainland China,0.0
336,01/29/2020,Yunnan,Mainland China,0.0
321,01/29/2020,Zhejiang,Mainland China,3.0
350,01/29/2020,Taiwan,Taiwan,0.0
356,01/29/2020,Arizona,US,0.0
355,01/29/2020,California,US,0.0
354,01/29/2020,Illinois,US,0.0
353,01/29/2020,Washington,US,0.0
424,01/30/2020,New South Wales,Australia,2.0
426,01/30/2020,Queensland,Australia,0.0
425,01/30/2020,Victoria,Australia,0.0
421,01/30/2020,British Columbia,Canada,0.0
420,01/30/2020,Ontario,Canada,0.0
427,01/30/2020,Bavaria,Germany,0.0
403,01/30/2020,Hong Kong,Hong Kong,0.0
406,01/30/2020,Macau,Macau,0.0
379,01/30/2020,Anhui,Mainland China,2.0
385,01/30/2020,Beijing,Mainland China,4.0
380,01/30/2020,Chongqing,Mainland China,1.0
387,01/30/2020,Fujian,Mainland China,0.0
397,01/30/2020,Gansu,Mainland China,0.0
376,01/30/2020,Guangdong,Mainland China,10.0
388,01/30/2020,Guangxi,Mainland China,2.0
402,01/30/2020,Guizhou,Mainland China,1.0
392,01/30/2020,Hainan,Mainland China,1.0
390,01/30/2020,Hebei,Mainland China,0.0
393,01/30/2020,Heilongjiang,Mainland China,0.0
377,01/30/2020,Henan,Mainland China,2.0
374,01/30/2020,Hubei,Mainland China,90.0
378,01/30/2020,Hunan,Mainland China,2.0
398,01/30/2020,Inner Mongolia,Mainland China,0.0
384,01/30/2020,Jiangsu,Mainland China,1.0
381,01/30/2020,Jiangxi,Mainland China,5.0
400,01/30/2020,Jilin,Mainland China,1.0
394,01/30/2020,Liaoning,Mainland China,1.0
399,01/30/2020,Ningxia,Mainland China,0.0
405,01/30/2020,Qinghai,Mainland China,0.0
391,01/30/2020,Shaanxi,Mainland China,0.0
382,01/30/2020,Shandong,Mainland China,1.0
386,01/30/2020,Shanghai,Mainland China,5.0
395,01/30/2020,Shanxi,Mainland China,1.0
383,01/30/2020,Sichuan,Mainland China,1.0
396,01/30/2020,Tianjin,Mainland China,0.0
407,01/30/2020,Tibet,Mainland China,0.0
401,01/30/2020,Xinjiang,Mainland China,0.0
389,01/30/2020,Yunnan,Mainland China,0.0
375,01/30/2020,Zhejiang,Mainland China,4.0
404,01/30/2020,Taiwan,Taiwan,0.0
411,01/30/2020,Arizona,US,0.0
410,01/30/2020,California,US,0.0
409,01/30/2020,Illinois,US,0.0
408,01/30/2020,Washington,US,0.0
473,01/31/2020,New South Wales,Australia,2.0
480,01/31/2020,Queensland,Australia,0.0
475,01/31/2020,Victoria,Australia,0.0
487,01/31/2020,British Columbia,Canada,0.0
479,01/31/2020,Ontario,Canada,0.0
472,01/31/2020,Bavaria,Germany,0.0
461,01/31/2020,Hong Kong,Hong Kong,0.0
464,01/31/2020,Macau,Macau,0.0
438,01/31/2020,Anhui,Mainland China,3.0
443,01/31/2020,Beijing,Mainland China,5.0
439,01/31/2020,Chongqing,Mainland China,1.0
445,01/31/2020,Fujian,Mainland China,0.0
456,01/31/2020,Gansu,Mainland China,0.0
434,01/31/2020,Guangdong,Mainland China,11.0
446,01/31/2020,Guangxi,Mainland China,2.0
455,01/31/2020,Guizhou,Mainland China,2.0
451,01/31/2020,Hainan,Mainland China,1.0
449,01/31/2020,Hebei,Mainland China,0.0
450,01/31/2020,Heilongjiang,Mainland China,0.0
435,01/31/2020,Henan,Mainland China,3.0
432,01/31/2020,Hubei,Mainland China,141.0
436,01/31/2020,Hunan,Mainland China,2.0
458,01/31/2020,Inner Mongolia,Mainland China,1.0
442,01/31/2020,Jiangsu,Mainland China,5.0
437,01/31/2020,Jiangxi,Mainland China,7.0
460,01/31/2020,Jilin,Mainland China,1.0
452,01/31/2020,Liaoning,Mainland China,1.0
457,01/31/2020,Ningxia,Mainland China,0.0
463,01/31/2020,Qinghai,Mainland China,0.0
447,01/31/2020,Shaanxi,Mainland China,0.0
440,01/31/2020,Shandong,Mainland China,2.0
444,01/31/2020,Shanghai,Mainland China,9.0
453,01/31/2020,Shanxi,Mainland China,1.0
441,01/31/2020,Sichuan,Mainland China,1.0
454,01/31/2020,Tianjin,Mainland China,0.0
465,01/31/2020,Tibet,Mainland China,0.0
459,01/31/2020,Xinjiang,Mainland China,0.0
448,01/31/2020,Yunnan,Mainland China,1.0
433,01/31/2020,Zhejiang,Mainland China,14.0
462,01/31/2020,Taiwan,Taiwan,0.0
485,01/31/2020,Arizona,US,0.0
477,01/31/2020,California,US,0.0
476,01/31/2020,Illinois,US,0.0
484,01/31/2020,Washington,US,0.0
535,02/01/2020,New South Wales,Australia,2.0
538,02/01/2020,Queensland,Australia,0.0
544,02/01/2020,South Australia,Australia,0.0
536,02/01/2020,Victoria,Australia,0.0
546,02/01/2020,British Columbia,Canada,0.0
539,02/01/2020,Ontario,Canada,0.0
526,02/01/2020,Hong Kong,Hong Kong,0.0
532,02/01/2020,Macau,Macau,0.0
499,02/01/2020,Anhui,Mainland China,5.0
506,02/01/2020,Beijing,Mainland China,9.0
501,02/01/2020,Chongqing,Mainland China,3.0
507,02/01/2020,Fujian,Mainland China,0.0
517,02/01/2020,Gansu,Mainland China,0.0
496,02/01/2020,Guangdong,Mainland China,14.0
509,02/01/2020,Guangxi,Mainland China,2.0
518,02/01/2020,Guizhou,Mainland China,2.0
514,02/01/2020,Hainan,Mainland China,1.0
510,02/01/2020,Hebei,Mainland China,0.0
512,02/01/2020,Heilongjiang,Mainland China,2.0
497,02/01/2020,Henan,Mainland China,3.0
494,02/01/2020,Hubei,Mainland China,168.0
498,02/01/2020,Hunan,Mainland China,8.0
520,02/01/2020,Inner Mongolia,Mainland China,1.0
504,02/01/2020,Jiangsu,Mainland China,6.0
500,02/01/2020,Jiangxi,Mainland China,9.0
524,02/01/2020,Jilin,Mainland China,1.0
513,02/01/2020,Liaoning,Mainland China,1.0
519,02/01/2020,Ningxia,Mainland China,0.0
529,02/01/2020,Qinghai,Mainland China,0.0
508,02/01/2020,Shaanxi,Mainland China,0.0
503,02/01/2020,Shandong,Mainland China,3.0
505,02/01/2020,Shanghai,Mainland China,10.0
515,02/01/2020,Shanxi,Mainland China,1.0
502,02/01/2020,Sichuan,Mainland China,3.0
516,02/01/2020,Tianjin,Mainland China,0.0
549,02/01/2020,Tibet,Mainland China,0.0
523,02/01/2020,Xinjiang,Mainland China,0.0
511,02/01/2020,Yunnan,Mainland China,2.0
495,02/01/2020,Zhejiang,Mainland China,21.0
528,02/01/2020,Taiwan,Taiwan,0.0
555,02/01/2020,"Boston, MA",US,0.0
543,02/01/2020,"Chicago, IL",US,0.0
556,02/01/2020,"Los Angeles, CA",US,0.0
557,02/01/2020,"Orange, CA",US,0.0
558,02/01/2020,"Santa Clara, CA",US,0.0
559,02/01/2020,"Seattle, WA",US,0.0
560,02/01/2020,"Tempe, AZ",US,0.0
603,02/02/2020,New South Wales,Australia,2.0
606,02/02/2020,Queensland,Australia,0.0
607,02/02/2020,South Australia,Australia,0.0
604,02/02/2020,Victoria,Australia,0.0
615,02/02/2020,British Columbia,Canada,0.0
605,02/02/2020,Ontario,Canada,0.0
593,02/02/2020,Hong Kong,Hong Kong,0.0
598,02/02/2020,Macau,Macau,0.0
566,02/02/2020,Anhui,Mainland China,7.0
572,02/02/2020,Beijing,Mainland China,9.0
568,02/02/2020,Chongqing,Mainland China,7.0
574,02/02/2020,Fujian,Mainland China,0.0
583,02/02/2020,Gansu,Mainland China,3.0
563,02/02/2020,Guangdong,Mainland China,15.0
576,02/02/2020,Guangxi,Mainland China,2.0
585,02/02/2020,Guizhou,Mainland China,2.0
582,02/02/2020,Hainan,Mainland China,4.0
578,02/02/2020,Hebei,Mainland China,3.0
579,02/02/2020,Heilongjiang,Mainland China,2.0
564,02/02/2020,Henan,Mainland China,10.0
561,02/02/2020,Hubei,Mainland China,295.0
565,02/02/2020,Hunan,Mainland China,16.0
587,02/02/2020,Inner Mongolia,Mainland China,1.0
569,02/02/2020,Jiangsu,Mainland China,7.0
567,02/02/2020,Jiangxi,Mainland China,12.0
588,02/02/2020,Jilin,Mainland China,1.0
580,02/02/2020,Liaoning,Mainland China,1.0
586,02/02/2020,Ningxia,Mainland China,0.0
595,02/02/2020,Qinghai,Mainland China,0.0
575,02/02/2020,Shaanxi,Mainland China,0.0
571,02/02/2020,Shandong,Mainland China,6.0
573,02/02/2020,Shanghai,Mainland China,10.0
581,02/02/2020,Shanxi,Mainland China,3.0
570,02/02/2020,Sichuan,Mainland China,11.0
584,02/02/2020,Tianjin,Mainland China,1.0
617,02/02/2020,Tibet,Mainland China,0.0
589,02/02/2020,Xinjiang,Mainland China,0.0
577,02/02/2020,Yunnan,Mainland China,3.0
562,02/02/2020,Zhejiang,Mainland China,32.0
597,02/02/2020,Taiwan,Taiwan,0.0
622,02/02/2020,"Boston, MA",US,0.0
613,02/02/2020,"Chicago, IL",US,0.0
623,02/02/2020,"Los Angeles, CA",US,0.0
624,02/02/2020,"Orange, CA",US,0.0
625,02/02/2020,"Santa Clara, CA",US,0.0
626,02/02/2020,"Seattle, WA",US,0.0
627,02/02/2020,"Tempe, AZ",US,0.0
670,02/03/2020,New South Wales,Australia,2.0
674,02/03/2020,Queensland,Australia,0.0
675,02/03/2020,South Australia,Australia,0.0
671,02/03/2020,Victoria,Australia,0.0
684,02/03/2020,British Columbia,Canada,0.0
672,02/03/2020,Ontario,Canada,0.0
660,02/03/2020,Hong Kong,Hong Kong,0.0
665,02/03/2020,Macau,Macau,0.0
633,02/03/2020,Anhui,Mainland China,14.0
639,02/03/2020,Beijing,Mainland China,12.0
635,02/03/2020,Chongqing,Mainland China,9.0
641,02/03/2020,Fujian,Mainland China,1.0
651,02/03/2020,Gansu,Mainland China,3.0
629,02/03/2020,Guangdong,Mainland China,21.0
643,02/03/2020,Guangxi,Mainland China,7.0
652,02/03/2020,Guizhou,Mainland China,2.0
649,02/03/2020,Hainan,Mainland China,4.0
646,02/03/2020,Hebei,Mainland China,3.0
644,02/03/2020,Heilongjiang,Mainland China,2.0
631,02/03/2020,Henan,Mainland China,16.0
628,02/03/2020,Hubei,Mainland China,386.0
632,02/03/2020,Hunan,Mainland China,22.0
653,02/03/2020,Inner Mongolia,Mainland China,1.0
636,02/03/2020,Jiangsu,Mainland China,8.0
634,02/03/2020,Jiangxi,Mainland China,18.0
654,02/03/2020,Jilin,Mainland China,1.0
647,02/03/2020,Liaoning,Mainland China,1.0
655,02/03/2020,Ningxia,Mainland China,1.0
662,02/03/2020,Qinghai,Mainland China,0.0
642,02/03/2020,Shaanxi,Mainland China,0.0
637,02/03/2020,Shandong,Mainland China,7.0
640,02/03/2020,Shanghai,Mainland China,10.0
648,02/03/2020,Shanxi,Mainland China,2.0
638,02/03/2020,Sichuan,Mainland China,14.0
650,02/03/2020,Tianjin,Mainland China,1.0
686,02/03/2020,Tibet,Mainland China,0.0
656,02/03/2020,Xinjiang,Mainland China,0.0
645,02/03/2020,Yunnan,Mainland China,5.0
630,02/03/2020,Zhejiang,Mainland China,43.0
664,02/03/2020,Taiwan,Taiwan,0.0
691,02/03/2020,"Boston, MA",US,0.0
680,02/03/2020,"Chicago, IL",US,0.0
692,02/03/2020,"Los Angeles, CA",US,0.0
693,02/03/2020,"Orange, CA",US,0.0
681,02/03/2020,"San Benito, CA",US,0.0
682,02/03/2020,"Santa Clara, CA",US,0.0
694,02/03/2020,"Seattle, WA",US,0.0
695,02/03/2020,"Tempe, AZ",US,0.0
738,02/04/2020,New South Wales,Australia,2.0
740,02/04/2020,Queensland,Australia,0.0
742,02/04/2020,South Australia,Australia,0.0
739,02/04/2020,Victoria,Australia,0.0
753,02/04/2020,British Columbia,Canada,0.0
754,02/04/2020,"London, ON",Canada,0.0
743,02/04/2020,"Toronto, ON",Canada,0.0
728,02/04/2020,Hong Kong,Hong Kong,0.0
733,02/04/2020,Macau,Macau,0.0
701,02/04/2020,Anhui,Mainland China,20.0
707,02/04/2020,Beijing,Mainland China,23.0
703,02/04/2020,Chongqing,Mainland China,9.0
709,02/04/2020,Fujian,Mainland China,3.0
720,02/04/2020,Gansu,Mainland China,4.0
698,02/04/2020,Guangdong,Mainland China,30.0
712,02/04/2020,Guangxi,Mainland China,10.0
719,02/04/2020,Guizhou,Mainland China,2.0
717,02/04/2020,Hainan,Mainland China,5.0
713,02/04/2020,Hebei,Mainland China,4.0
710,02/04/2020,Heilongjiang,Mainland China,4.0
699,02/04/2020,Henan,Mainland China,27.0
696,02/04/2020,Hubei,Mainland China,522.0
700,02/04/2020,Hunan,Mainland China,31.0
722,02/04/2020,Inner Mongolia,Mainland China,1.0
704,02/04/2020,Jiangsu,Mainland China,12.0
702,02/04/2020,Jiangxi,Mainland China,20.0
721,02/04/2020,Jilin,Mainland China,1.0
715,02/04/2020,Liaoning,Mainland China,2.0
723,02/04/2020,Ningxia,Mainland China,1.0
730,02/04/2020,Qinghai,Mainland China,0.0
711,02/04/2020,Shaanxi,Mainland China,2.0
706,02/04/2020,Shandong,Mainland China,11.0
708,02/04/2020,Shanghai,Mainland China,12.0
716,02/04/2020,Shanxi,Mainland China,4.0
705,02/04/2020,Sichuan,Mainland China,14.0
718,02/04/2020,Tianjin,Mainland China,2.0
756,02/04/2020,Tibet,Mainland China,0.0
724,02/04/2020,Xinjiang,Mainland China,0.0
714,02/04/2020,Yunnan,Mainland China,5.0
697,02/04/2020,Zhejiang,Mainland China,62.0
732,02/04/2020,Taiwan,Taiwan,0.0
761,02/04/2020,"Boston, MA",US,0.0
